language_name,language_group,other_names,type,scope,639-1,639-2,639-3,639-5
Dakota,Dakota,,Living,Individual,,dak,dak,
Danish,Danish,,Living,Individual,da,dan,dan,
Dargwa,Dargwa,,Living,Individual,,dar,dar,
Delaware,Delaware,,Living,Macrolanguage,,del,del,
Dinka,Dinka,,Living,Macrolanguage,,din,din,
Divehi,Divehi; Dhivehi; Maldivian,,Living,Individual,dv,div,div,
Dhivehi,Divehi; Dhivehi; Maldivian,,Living,Individual,dv,div,div,
Maldivian,Divehi; Dhivehi; Maldivian,,Living,Individual,dv,div,div,
Dogri,Dogri,,Living,Macrolanguage,,doi,doi,
Dogrib,Dogrib,,Living,Individual,,dgr,dgr,
Dravidian languages,Dravidian languages,,,Collective,,dra,,dra
Duala,Duala,,Living,Individual,,dua,dua,
"Dutch, Middle (ca. 1050–1350)","Dutch, Middle (ca. 1050–1350)",,Historical,Individual,,dum,dum,
Dutch,Dutch; Flemish,,Living,Individual,nl,dut* / nld,nld,
Flemish,Dutch; Flemish,,Living,Individual,nl,dut* / nld,nld,
Dyula,Dyula,Jula,Living,Individual,,dyu,dyu,
Dzongkha,Dzongkha,,Living,Individual,dz,dzo,dzo,
Eastern Frisian,Eastern Frisian,Saterland Frisian,Living,Individual,,frs,frs,
Efik,Efik,,Living,Individual,,efi,efi,
Egyptian (Ancient),Egyptian (Ancient),,Ancient,Individual,,egy,egy,
Ekajuk,Ekajuk,Kajuk,Living,Individual,,eka,eka,
Elamite,Elamite,,Ancient,Individual,,elx,elx,
English,English,,Living,Individual,en,eng,eng,
"English, Middle (1100–1500)","English, Middle (1100–1500)",,Historical,Individual,,enm,enm,
"English, Old (ca.450–1100)","English, Old (ca.450–1100)",,Historical,Individual,,ang,ang,
Erzya,Erzya,,Living,Individual,,myv,myv,
Esperanto,Esperanto,,Constructed,Individual,eo,epo,epo,
Estonian,Estonian,,Living,Macrolanguage,et,est,est,
Ewe,Ewe,,Living,Individual,ee,ewe,ewe,
Ewondo,Ewondo,Kolo,Living,Individual,,ewo,ewo,
Fang,Fang,,Living,Individual,,fan,fan,
Fanti,Fanti,Fante,Living,Individual,,fat,fat,
Faroese,Faroese,,Living,Individual,fo,fao,fao,
Fijian,Fijian,,Living,Individual,fj,fij,fij,
Filipino,Filipino; Pilipino,,Living,Individual,,fil,fil,
Pilipino,Filipino; Pilipino,,Living,Individual,,fil,fil,
Finnish,Finnish,,Living,Individual,fi,fin,fin,
Finno-Ugrian languages,Finno-Ugrian languages,Finno-Ugric languages,,Collective,,fiu,,fiu
Fon,Fon,,Living,Individual,,fon,fon,
French,French,,Living,Individual,fr,fra / fre*,fra,
"French, Middle (ca. 1400–1600)","French, Middle (ca. 1400–1600)",,Historical,Individual,,frm,frm,
"French, Old (842–ca. 1400)","French, Old (842–ca. 1400)",,Historical,Individual,,fro,fro,
Friulian,Friulian,,Living,Individual,,fur,fur,
Fulah,Fulah,Fula,Living,Macrolanguage,ff,ful,ful,
Ga,Ga,,Living,Individual,,gaa,gaa,
Gaelic,Gaelic; Scottish Gaelic,,Living,Individual,gd,gla,gla,
Scottish Gaelic,Gaelic; Scottish Gaelic,,Living,Individual,gd,gla,gla,
Galibi Carib,Galibi Carib,Carib,Living,Individual,,car,car,
Galician,Galician,,Living,Individual,gl,glg,glg,
Ganda,Ganda,Luganda,Living,Individual,lg,lug,lug,
Gayo,Gayo,,Living,Individual,,gay,gay,
Gbaya,Gbaya,,Living,Macrolanguage,,gba,gba,
Geez,Geez,Ge'ez,Ancient,Individual,,gez,gez,
Georgian,Georgian,,Living,Individual,ka,geo* / kat,kat,
German,German,,Living,Individual,de,deu / ger*,deu,
"German, Middle High (ca. 1050–1500)","German, Middle High (ca. 1050–1500)",,Historical,Individual,,gmh,gmh,
"German, Old High (ca. 750–1050)","German, Old High (ca. 750–1050)",,Historical,Individual,,goh,goh,
Germanic languages,Germanic languages,,,Collective,,gem,,gem
Gilbertese,Gilbertese,,Living,Individual,,gil,gil,
Gondi,Gondi,,Living,Macrolanguage,,gon,gon,
Gorontalo,Gorontalo,,Living,Individual,,gor,gor,
Gothic,Gothic,,Ancient,Individual,,got,got,
Grebo,Grebo,,Living,Macrolanguage,,grb,grb,
"Greek, Ancient (to 1453)","Greek, Ancient (to 1453)",,Historical,Individual,,grc,grc,
"Greek, Modern (1453–)","Greek, Modern (1453–)",,Living,Individual,el,ell / gre*,ell,
Guarani,Guarani,,Living,Macrolanguage,gn,grn,grn,
Gujarati,Gujarati,,Living,Individual,gu,guj,guj,
Gwich'in,Gwich'in,,Living,Individual,,gwi,gwi,
Haida,Haida,,Living,Macrolanguage,,hai,hai,
Haitian,Haitian; Haitian Creole,,Living,Individual,ht,hat,hat,
Haitian Creole,Haitian; Haitian Creole,,Living,Individual,ht,hat,hat,
Hausa,Hausa,,Living,Individual,ha,hau,hau,
Hawaiian,Hawaiian,,Living,Individual,,haw,haw,
Hebrew,Hebrew,,Living,Individual,he,heb,heb,
Herero,Herero,,Living,Individual,hz,her,her,
Hiligaynon,Hiligaynon,,Living,Individual,,hil,hil,
Himachali languages,Himachali languages; Pahari languages,,,Collective,,him,,[note]
Pahari languages,Himachali languages; Pahari languages,,,Collective,,him,,[note]
Hindi,Hindi,,Living,Individual,hi,hin,hin,
Hiri Motu,Hiri Motu,,Living,Individual,ho,hmo,hmo,
Hittite,Hittite,,Ancient,Individual,,hit,hit,
Hmong,Hmong; Mong,,Living,Macrolanguage,,hmn,hmn,
Mong,Hmong; Mong,,Living,Macrolanguage,,hmn,hmn,
Hungarian,Hungarian,,Living,Individual,hu,hun,hun,
Hupa,Hupa,,Living,Individual,,hup,hup,
Iban,Iban,,Living,Individual,,iba,iba,
Icelandic,Icelandic,,Living,Individual,is,ice* / isl,isl,
Ido,Ido,,Constructed,Individual,io,ido,ido,
Igbo,Igbo,,Living,Individual,ig,ibo,ibo,
Ijo languages,Ijo languages,Ijaw languages,,Collective,,ijo,,ijo
Iloko,Iloko,Ilocano,Living,Individual,,ilo,ilo,
Inari Sami,Inari Sami,,Living,Individual,,smn,smn,
Indic languages,Indic languages,Indo-Aryan languages,,Collective,,inc,,inc
Indo-European languages,Indo-European languages,,,Collective,,ine,,ine
Indonesian,Indonesian,,Living,Individual,id,ind,ind,
Ingush,Ingush,,Living,Individual,,inh,inh,
Interlingua (International Auxiliary Language Association),Interlingua (International Auxiliary Language Association),,Constructed,Individual,ia,ina,ina,
Interlingue,Interlingue; Occidental,,Constructed,Individual,ie,ile,ile,
Occidental,Interlingue; Occidental,,Constructed,Individual,ie,ile,ile,
Inuktitut,Inuktitut,,Living,Macrolanguage,iu,iku,iku,
Inupiaq,Inupiaq,,Living,Macrolanguage,ik,ipk,ipk,
Iranian languages,Iranian languages,,,Collective,,ira,,ira
Irish,Irish,,Living,Individual,ga,gle,gle,
"Irish, Middle (900–1200)","Irish, Middle (900–1200)",,Historical,Individual,,mga,mga,
"Irish, Old (to 900)","Irish, Old (to 900)",,Historical,Individual,,sga,sga,
Iroquoian languages,Iroquoian languages,,,Collective,,iro,,iro
Italian,Italian,,Living,Individual,it,ita,ita,
Japanese,Japanese,,Living,Individual,ja,jpn,jpn,
Javanese,Javanese,,Living,Individual,jv,jav,jav,
Judeo-Arabic,Judeo-Arabic,,Living,Macrolanguage,,jrb,jrb,
Judeo-Persian,Judeo-Persian,,Living,Individual,,jpr,jpr,
Kabardian,Kabardian,,Living,Individual,,kbd,kbd,
Kabyle,Kabyle,,Living,Individual,,kab,kab,
Kachin,Kachin; Jingpho,,Living,Individual,,kac,kac,
Jingpho,Kachin; Jingpho,,Living,Individual,,kac,kac,
Kalaallisut,Kalaallisut; Greenlandic,,Living,Individual,kl,kal,kal,
Greenlandic,Kalaallisut; Greenlandic,,Living,Individual,kl,kal,kal,
Kalmyk,Kalmyk; Oirat,,Living,Individual,,xal,xal,
Oirat,Kalmyk; Oirat,,Living,Individual,,xal,xal,
Kamba,Kamba,,Living,Individual,,kam,kam,
Kannada,Kannada,,Living,Individual,kn,kan,kan,
Kanuri,Kanuri,,Living,Macrolanguage,kr,kau,kau,
Kara-Kalpak,Kara-Kalpak,Karakalpak,Living,Individual,,kaa,kaa,
Karachay-Balkar,Karachay-Balkar,,Living,Individual,,krc,krc,
Karelian,Karelian,,Living,Individual,,krl,krl,
Karen languages,Karen languages,Karenic languages,,Collective,,kar,,kar
Kashmiri,Kashmiri,,Living,Individual,ks,kas,kas,
Kashubian,Kashubian,Cassubian,Living,Individual,,csb,csb,
Kawi,Kawi,,Ancient,Individual,,kaw,kaw,
Kazakh,Kazakh,,Living,Individual,kk,kaz,kaz,
Khasi,Khasi,,Living,Individual,,kha,kha,
Khoisan languages,Khoisan languages,,,Collective,,khi,,khi
Khotanese,Khotanese; Sakan,Saka,Ancient,Individual,,kho,kho,
Sakan,Khotanese; Sakan,Saka,Ancient,Individual,,kho,kho,
Kikuyu,Kikuyu; Gikuyu,,Living,Individual,ki,kik,kik,
Gikuyu,Kikuyu; Gikuyu,,Living,Individual,ki,kik,kik,
Kimbundu,Kimbundu,,Living,Individual,,kmb,kmb,
Kinyarwanda,Kinyarwanda,,Living,Individual,rw,kin,kin,
Kirghiz,Kirghiz; Kyrgyz,,Living,Individual,ky,kir,kir,
Kyrgyz,Kirghiz; Kyrgyz,,Living,Individual,ky,kir,kir,
Klingon,Klingon; tlhIngan-Hol,,Constructed,Individual,,tlh,tlh,
tlhIngan-Hol,Klingon; tlhIngan-Hol,,Constructed,Individual,,tlh,tlh,
Komi,Komi,,Living,Macrolanguage,kv,kom,kom,
Kongo,Kongo,,Living,Macrolanguage,kg,kon,kon,
Konkani,Konkani,,Living,Macrolanguage,,kok,kok,
Korean,Korean,,Living,Individual,ko,kor,kor,
Kosraean,Kosraean,,Living,Individual,,kos,kos,
Kpelle,Kpelle,,Living,Macrolanguage,,kpe,kpe,
Kru languages,Kru languages,,,Collective,,kro,,kro
Kuanyama,Kuanyama; Kwanyama,,Living,Individual,kj,kua,kua,
Kwanyama,Kuanyama; Kwanyama,,Living,Individual,kj,kua,kua,
Kumyk,Kumyk,,Living,Individual,,kum,kum,
Kurdish,Kurdish,,Living,Macrolanguage,ku,kur,kur,
Kurukh,Kurukh,,Living,Individual,,kru,kru,
Kutenai,Kutenai,,Living,Individual,,kut,kut,
Ladino,Ladino,Judaeo-Spanish,Living,Individual,,lad,lad,
Lahnda,Lahnda,Western Punjabi,Living,Macrolanguage,,lah,lah,
Lamba,Lamba,,Living,Individual,,lam,lam,
Land Dayak languages,Land Dayak languages,,,Collective,,day,,day
Lao,Lao,,Living,Individual,lo,lao,lao,
Latin,Latin,,Ancient,Individual,la,lat,lat,
Latvian,Latvian,,Living,Macrolanguage,lv,lav,lav,
Lezghian,Lezghian,Lezgian,Living,Individual,,lez,lez,
Limburgan,Limburgan; Limburger; Limburgish,,Living,Individual,li,lim,lim,
Limburger,Limburgan; Limburger; Limburgish,,Living,Individual,li,lim,lim,
Limburgish,Limburgan; Limburger; Limburgish,,Living,Individual,li,lim,lim,
Lingala,Lingala,,Living,Individual,ln,lin,lin,
Lithuanian,Lithuanian,,Living,Individual,lt,lit,lit,
Lojban,Lojban,,Constructed,Individual,,jbo,jbo,
Low German,"Low German; Low Saxon; German, Low; Saxon, Low",,Living,Individual,,nds,nds,
Low Saxon,"Low German; Low Saxon; German, Low; Saxon, Low",,Living,Individual,,nds,nds,
"German, Low","Low German; Low Saxon; German, Low; Saxon, Low",,Living,Individual,,nds,nds,
"Saxon, Low","Low German; Low Saxon; German, Low; Saxon, Low",,Living,Individual,,nds,nds,
Lower Sorbian,Lower Sorbian,,Living,Individual,,dsb,dsb,
Lozi,Lozi,,Living,Individual,,loz,loz,
Luba-Katanga,Luba-Katanga,,Living,Individual,lu,lub,lub,
Luba-Lulua,Luba-Lulua,Luba-Kasai,Living,Individual,,lua,lua,
Luiseno,Luiseno,,Extinct,Individual,,lui,lui,
Lule Sami,Lule Sami,,Living,Individual,,smj,smj,
Lunda,Lunda,,Living,Individual,,lun,lun,
Luo (Kenya and Tanzania),Luo (Kenya and Tanzania),,Living,Individual,,luo,luo,
Lushai,Lushai,Mizo,Living,Individual,,lus,lus,
Luxembourgish,Luxembourgish; Letzeburgesch,,Living,Individual,lb,ltz,ltz,
Letzeburgesch,Luxembourgish; Letzeburgesch,,Living,Individual,lb,ltz,ltz,
Macedonian,Macedonian,,Living,Individual,mk,mac* / mkd,mkd,
Madurese,Madurese,,Living,Individual,,mad,mad,
Magahi,Magahi,,Living,Individual,,mag,mag,
Maithili,Maithili,,Living,Individual,,mai,mai,
Makasar,Makasar,Makassarese,Living,Individual,,mak,mak,
Malagasy,Malagasy,,Living,Macrolanguage,mg,mlg,mlg,
Malay,Malay,,Living,Macrolanguage,ms,may* / msa,msa,
Malayalam,Malayalam,,Living,Individual,ml,mal,mal,
Maltese,Maltese,,Living,Individual,mt,mlt,mlt,
Manchu,Manchu,,Living,Individual,,mnc,mnc,
Mandar,Mandar,,Living,Individual,,mdr,mdr,
Mandingo,Mandingo,Manding,Living,Macrolanguage,,man,man,
Manipuri,Manipuri,Meitei,Living,Individual,,mni,mni,
Manobo languages,Manobo languages,,,Collective,,mno,,mno
Manx,Manx,,Living,Individual,gv,glv,glv,
Maori,Maori,,Living,Individual,mi,mao* / mri,mri,
Mapudungun,Mapudungun; Mapuche,,Living,Individual,,arn,arn,
Mapuche,Mapudungun; Mapuche,,Living,Individual,,arn,arn,
Marathi,Marathi,,Living,Individual,mr,mar,mar,
Mari,Mari,,Living,Macrolanguage,,chm,chm,
Marshallese,Marshallese,,Living,Individual,mh,mah,mah,
Marwari,Marwari,,Living,Macrolanguage,,mwr,mwr,
Masai,Masai,,Living,Individual,,mas,mas,
Mayan languages,Mayan languages,,,Collective,,myn,,myn
Mende,Mende,,Living,Individual,,men,men,
Mi'kmaq,Mi'kmaq; Micmac,,Living,Individual,,mic,mic,
Micmac,Mi'kmaq; Micmac,,Living,Individual,,mic,mic,
Minangkabau,Minangkabau,,Living,Individual,,min,min,
Mirandese,Mirandese,,Living,Individual,,mwl,mwl,
Mohawk,Mohawk,,Living,Individual,,moh,moh,
Moksha,Moksha,,Living,Individual,,mdf,mdf,
Mon-Khmer languages,Mon-Khmer languages,Austroasiatic languages,,Collective,,mkh,,mkh
Mongo,Mongo,,Living,Individual,,lol,lol,
Mongolian,Mongolian,,Living,Macrolanguage,mn,mon,mon,
Montenegrin,Montenegrin,,Living,Individual,,cnr,cnr,
Mossi,Mossi,,Living,Individual,,mos,mos,
Multiple languages,Multiple languages,,,Special,,mul,mul,
Munda languages,Munda languages,,,Collective,,mun,,mun
N'Ko,N'Ko,,Living,Individual,,nqo,nqo,
Nahuatl languages,Nahuatl languages,Nahuan languages,,Collective,,nah,,nah
Nauru,Nauru,Nauruan,Living,Individual,na,nau,nau,
Navajo,Navajo; Navaho,,Living,Individual,nv,nav,nav,
Navaho,Navajo; Navaho,,Living,Individual,nv,nav,nav,
"Ndebele, North","Ndebele, North; North Ndebele",Northern Ndebele,Living,Individual,nd,nde,nde,
North Ndebele,"Ndebele, North; North Ndebele",Northern Ndebele,Living,Individual,nd,nde,nde,
"Ndebele, South","Ndebele, South; South Ndebele",Southern Ndebele,Living,Individual,nr,nbl,nbl,
South Ndebele,"Ndebele, South; South Ndebele",Southern Ndebele,Living,Individual,nr,nbl,nbl,
Ndonga,Ndonga,,Living,Individual,ng,ndo,ndo,
Neapolitan,Neapolitan,,Living,Individual,,nap,nap,
Nepal Bhasa,Nepal Bhasa; Newari,Newar,Living,Individual,,new,new,
Newari,Nepal Bhasa; Newari,Newar,Living,Individual,,new,new,
Nepali,Nepali,,Living,Macrolanguage,ne,nep,nep,
Nias,Nias,,Living,Individual,,nia,nia,
Niger-Kordofanian languages,Niger-Kordofanian languages,Niger-Congo languages,,Collective,,nic,,nic
Nilo-Saharan languages,Nilo-Saharan languages,,,Collective,,ssa,,ssa
Niuean,Niuean,,Living,Individual,,niu,niu,
No linguistic content,No linguistic content; Not applicable,,,Special,,zxx,zxx,
Not applicable,No linguistic content; Not applicable,,,Special,,zxx,zxx,
Nogai,Nogai,,Living,Individual,,nog,nog,
"Norse, Old","Norse, Old",,Historical,Individual,,non,non,
North American Indian languages,North American Indian languages,,,Collective,,nai,,nai
Northern Frisian,Northern Frisian,North Frisian,Living,Individual,,frr,frr,
Northern Sami,Northern Sami,,Living,Individual,se,sme,sme,
Norwegian,Norwegian,,Living,Macrolanguage,no,nor,nor,
Norwegian Nynorsk,"Norwegian Nynorsk; Nynorsk, Norwegian",Nynorsk,Living,Individual,nn,nno,nno,
"Nynorsk, Norwegian","Norwegian Nynorsk; Nynorsk, Norwegian",Nynorsk,Living,Individual,nn,nno,nno,
Nubian languages,Nubian languages,,,Collective,,nub,,nub
Nyamwezi,Nyamwezi,,Living,Individual,,nym,nym,
Nyankole,Nyankole,Nkore,Living,Individual,,nyn,nyn,
Nyoro,Nyoro,,Living,Individual,,nyo,nyo,
Nzima,Nzima,Nzema,Living,Individual,,nzi,nzi,
Occitan (post 1500),Occitan (post 1500); Provençal,,Living,Individual,oc,oci,oci,
Provençal,Occitan (post 1500); Provençal,,Living,Individual,oc,oci,oci,
Official Aramaic (700–300 BCE),Official Aramaic (700–300 BCE); Imperial Aramaic (700–300 BCE),,Ancient,Individual,,arc,arc,
Imperial Aramaic (700–300 BCE),Official Aramaic (700–300 BCE); Imperial Aramaic (700–300 BCE),,Ancient,Individual,,arc,arc,
Ojibwa,Ojibwa,Ojibwe,Living,Macrolanguage,oj,oji,oji,
Oriya,Oriya,Odia,Living,Macrolanguage,or,ori,ori,
Oromo,Oromo,,Living,Macrolanguage,om,orm,orm,
Osage,Osage,,Living,Individual,,osa,osa,
Ossetian,Ossetian; Ossetic,,Living,Individual,os,oss,oss,
Ossetic,Ossetian; Ossetic,,Living,Individual,os,oss,oss,
Otomian languages,Otomian languages,Oto-Pamean languages,,Collective,,oto,,oto
Pahlavi,Pahlavi,Middle Persian,Ancient,Individual,,pal,pal,
Palauan,Palauan,,Living,Individual,,pau,pau,
Pali,Pali,,Ancient,Individual,pi,pli,pli,
Pampanga,Pampanga; Kapampangan,,Living,Individual,,pam,pam,
Kapampangan,Pampanga; Kapampangan,,Living,Individual,,pam,pam,
Pangasinan,Pangasinan,,Living,Individual,,pag,pag,
Panjabi,Panjabi; Punjabi,,Living,Individual,pa,pan,pan,
Punjabi,Panjabi; Punjabi,,Living,Individual,pa,pan,pan,
Papiamento,Papiamento,,Living,Individual,,pap,pap,
Papuan languages,Papuan languages,,,Collective,,paa,,paa
Pedi,Pedi; Sepedi; Northern Sotho,,Living,Individual,,nso,nso,
Sepedi,Pedi; Sepedi; Northern Sotho,,Living,Individual,,nso,nso,
Northern Sotho,Pedi; Sepedi; Northern Sotho,,Living,Individual,,nso,nso,
Persian,Persian,Farsi,Living,Macrolanguage,fa,fas / per*,fas,
"Persian, Old (ca. 600–400 B.C.)","Persian, Old (ca. 600–400 B.C.)",,Historical,Individual,,peo,peo,
Philippine languages,Philippine languages,,,Collective,,phi,,phi
Phoenician,Phoenician,,Ancient,Individual,,phn,phn,
Pohnpeian,Pohnpeian,,Living,Individual,,pon,pon,
Polish,Polish,,Living,Individual,pl,pol,pol,
Portuguese,Portuguese,,Living,Individual,pt,por,por,
Prakrit languages,Prakrit languages,,,Collective,,pra,,pra
"Provençal, Old (to 1500)","Provençal, Old (to 1500); Old Occitan (to 1500)",,Historical,Individual,,pro,pro,
Old Occitan (to 1500),"Provençal, Old (to 1500); Old Occitan (to 1500)",,Historical,Individual,,pro,pro,
Pushto,Pushto; Pashto,,Living,Macrolanguage,ps,pus,pus,
Pashto,Pushto; Pashto,,Living,Macrolanguage,ps,pus,pus,
Quechua,Quechua,,Living,Macrolanguage,qu,que,que,
Rajasthani,Rajasthani,,Living,Macrolanguage,,raj,raj,
Rapanui,Rapanui,,Living,Individual,,rap,rap,
Rarotongan,Rarotongan; Cook Islands Maori,,Living,Individual,,rar,rar,
Cook Islands Maori,Rarotongan; Cook Islands Maori,,Living,Individual,,rar,rar,
Reserved for local use,Reserved for local use,,,Local,,qaa-qtz,qaa-qtz,
Romance languages,Romance languages,,,Collective,,roa,,roa
